index,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
137,U001,100031704,DELHAIZE associates,2020-04-09 15:08:21.375000000,2020,1930789873,2020-04-15,2020-04-30,2020-04-15,NAA8,70181.07,Before Due Date
138,U001,200769623,WAL-MAR trust,2020-04-11 07:53:43.710937500,2020,1930705172,2020-03-28,2020-04-12,2020-03-28,NAH4,3403.8,Before Due Date
148,U001,200744019,TARG systems,2020-06-03 10:49:30.875000000,2020,1930620634,2020-10-03,2020-05-14,2020-03-10,NAGD,10665.53,16-30
178,U001,200769623,WAL-MAR ,2020-04-05 09:15:23.328125000,2020,1930676002,2020-03-21,2020-04-05,2020-03-21,NAH4,7280.51,0-15
188,U001,200726979,BJ'S  corporation,2020-03-29 03:24:22.875000000,2020,1930585378,2020-02-03,2020-03-17,2020-03-02,NAA8,13681.7,0-15
193,U001,200706844,WINC associates,2020-04-23 18:25:39.828125000,2020,1930773419,2020-07-04,2020-04-22,2020-04-07,NAA8,33947.85,0-15
197,U001,200793830,M llc,2020-04-19 04:16:40.406250000,2020,1930767747,2020-08-04,2020-04-23,2020-04-08,NAA8,4537.14,Before Due Date
199,U001,200769623,WAL-MAR foundation,2020-05-03 09:00:03.125000000,2020,1930750455,2020-06-04,2020-04-21,2020-04-06,NAH4,14355.96,0-15
200,U001,200769623,WAL-MAR systems,2020-04-30 08:49:20.125000000,2020,1930738904,2020-03-04,2020-04-18,2020-04-03,NAH4,367.71,0-15
203,U001,200769623,WAL-MAR trust,2020-06-14 00:47:33.500000000,2020,1930862467,2020-06-05,2020-05-21,2020-05-06,NAH4,56284.77,16-30
214,U001,200769623,WAL-MAR systems,2020-03-12 02:38:27.953125000,2020,1930582162,2020-02-29,2020-03-15,2020-02-29,NAH4,50493.86,Before Due Date
215,U001,200769623,WAL-MAR llc,2020-05-09 00:35:30.578125000,2020,1930802490,2020-04-21,2020-05-06,2020-04-21,NAH4,15489.43,0-15
229,CA02,140104423,METRO  llc,2020-03-08 22:14:44.250000000,2020,2960617050,2020-02-27,2020-03-11,2020-03-01,CA10,93179.35199999998,Before Due Date
237,U001,200726979,BJ'S  systems,2020-04-29 12:36:25.687500000,2020,1930801417,2020-04-19,2020-05-04,2020-04-19,NAA8,360.33,Before Due Date
242,U001,200743996,STATER  llc,2020-05-21 15:28:16.453125000,2020,1930660304,2020-03-16,2020-05-20,2020-03-16,NAGD,3826.03,0-15
254,U001,200752302,KROGER trust,2020-04-26 11:41:05.937500000,2020,1930733767,2020-02-04,2020-04-17,2020-04-02,NAA8,96674.05,0-15
258,CA02,140105686,SYSC llc,2020-05-20 05:13:23.421875000,2020,2960633120,2020-06-05,2020-05-18,2020-05-08,CA10,43230.299,0-15
260,U001,200711029,WEGMAN corp,2020-05-04 16:17:50.625000000,2020,1930742932,2020-03-04,2020-04-18,2020-04-03,NAA8,14382.22,16-30
264,CA02,CCU001,KRAFT  corporation,2020-02-10 00:28:28.000000000,2020,2960622220,2020-03-20,2020-04-27,2020-03-23,NAG2,17828.068999999996,Before Due Date
265,U001,200769623,WAL-MAR llc,2020-05-09 08:58:39.062500000,2020,1930804924,2020-04-21,2020-05-06,2020-04-21,NAH4,35509.95,0-15
268,U001,200769623,WAL-MAR associates,2020-05-03 01:40:31.375000000,2020,1930746955,2020-05-04,2020-04-20,2020-04-05,NAH4,13512.61,0-15
272,U001,200772670,ASSOCIAT corp,2020-04-11 02:31:52.031250000,2020,1930698156,2020-03-24,2020-04-08,2020-03-24,NAU5,24421.33,0-15
275,U001,200769623,WAL-MAR co,2020-04-23 18:44:24.687500000,2020,1930801200,2020-04-19,2020-05-04,2020-04-19,NAH4,11217.33,Before Due Date
277,U001,200769623,WAL-MAR systems,2020-04-23 12:45:25.312500000,2020,1930776682,2020-04-13,2020-04-28,2020-04-13,NAH4,12554.13,Before Due Date
288,U001,200720238,WOODM co,2020-06-06 05:02:34.750000000,2020,1930858727,2020-06-05,2020-05-21,2020-05-06,NAA8,126919.03,16-30
295,CA02,140106408,WAL-M in,2020-05-14 18:49:49.687500000,2020,2960631200,2020-04-25,2020-05-05,2020-04-25,CA10,28537.684,0-15
311,U001,200769623,WAL-MAR us,2020-03-26 08:01:59.062500000,2020,1930653060,2020-03-15,2020-03-30,2020-03-15,NAH4,50202.83,Before Due Date
312,U001,200769623,WAL-MAR us,2020-04-30 02:47:11.375000000,2020,1930715979,2020-01-04,2020-04-16,2020-04-01,NAH4,8299.7,0-15
314,U001,200799367,MCL corporation,2020-04-10 17:18:04.328125000,2020,1930673430,2020-03-24,2020-04-08,2020-03-24,NAA8,51602.13,0-15
319,U001,200759878,SA co,2020-04-20 08:45:02.812500000,2020,1930783249,2020-04-14,2020-04-29,2020-04-14,NAH4,18900.99,Before Due Date
323,U001,200794332,COST corp,2020-04-04 20:18:00.687500000,2020,1930638145,2020-03-14,2020-03-29,2020-03-14,NAAX,49467.7,0-15
324,U001,200515231,US  us,2020-05-24 13:56:52.250000000,2020,1930768145,2020-09-04,2020-04-24,2020-04-09,NAA8,10187.66,31-45
330,U001,200782669,SYGMA corp,2020-03-23 12:57:43.125000000,2020,1930636977,2020-03-13,2020-03-28,2020-03-13,NAA8,237.4,Before Due Date
333,U001,200769623,WAL-MAR foundation,2020-06-15 18:29:02.000000000,2020,1930882979,2020-12-05,2020-05-27,2020-05-12,NAH4,11532.84,16-30
340,U001,200769623,WAL-MAR ,2020-04-07 15:20:29.324218750,2020,1930692833,2020-03-24,2020-04-08,2020-03-24,NAH4,20017.92,Before Due Date
362,U001,200331749,SYSC foundation,2020-03-29 10:41:43.250000000,2020,1930579080,2020-02-28,2020-03-14,2020-02-28,NAA8,5320.85,16-30
363,U001,200772670,ASSOCIAT associates,2020-05-15 23:45:07.750000000,2020,1930819529,2020-04-23,2020-05-08,2020-04-23,NAU5,30900.83,0-15
383,U001,200772670,ASSOCIAT us,2020-04-17 21:55:15.148437500,2020,1930736164,2020-02-04,2020-04-17,2020-04-02,NAU5,65843.26,0-15
396,U001,200706844,WINC foundation,2020-03-24 17:10:09.937500000,2020,1930599854,2020-04-03,2020-03-19,2020-03-04,NAA8,359.44,0-15
399,U001,100043975,JAVA ,2020-07-11 21:55:20.000000000,2020,1930740345,2020-03-04,2020-04-18,2020-04-03,NAA8,1427.36,Greatar than 60
402,U001,200762301,C&S WH in,2020-03-22 05:05:31.531250000,2020,1930592552,2020-04-03,2020-03-19,2020-03-04,NAC6,99091.71,0-15
403,U001,200148860,DOLLA associates,2020-07-12 22:25:37.750000000,2020,1930732920,2020-03-04,2020-06-07,2020-04-03,NAGD,6543.44,31-45
411,CA02,100027744,OMEGA AD in,2020-04-10 08:26:49.750000000,2020,2960635652,2020-05-19,2020-05-19,2020-05-19,CAB1,4924.5,Before Due Date
419,U001,100031704,DELHAIZE co,2020-03-25 04:54:27.437500000,2020,1930585468,2020-01-03,2020-03-16,2020-03-01,NAA8,106394.18,0-15
423,U001,200799420,HT HA foundation,2020-03-16 13:11:41.500000000,2020,1930703225,2020-03-25,2020-04-09,2020-03-25,NAA8,801.1,Before Due Date
428,U001,200974851,RESTA systems,2020-04-15 05:41:14.437500000,2020,1930706997,2020-03-26,2020-04-10,2020-03-26,NAA8,3566.69,0-15
433,U001,200769623,WAL-MAR in,2020-05-19 19:34:16.687500000,2020,1930830709,2020-04-28,2020-05-13,2020-04-28,NAH4,8885.57,0-15
440,U001,200793568,SUPE llc,2020-03-23 07:57:35.640625000,2020,1930630388,2020-10-03,2020-03-25,2020-03-10,NAA8,15893.27,Before Due Date
442,U001,200759878,SA foundation,2020-03-28 19:10:39.687500000,2020,1930609945,2020-06-03,2020-03-21,2020-03-06,NAH4,70180.8,0-15
445,U001,200712187,SPAR in,2020-04-06 02:44:48.000000000,2020,1930806222,2020-04-20,2020-05-05,2020-04-20,NAA8,119384.36,Before Due Date
446,U001,100047532,KEYSTON associates,2020-07-13 00:06:21.000000000,2020,1930592834,2020-04-03,2020-03-19,2020-03-04,NAA8,11852.54,
447,U001,200794332,COST co,2020-03-22 05:34:05.687500000,2020,1930562584,2020-02-28,2020-03-19,2020-02-28,NA84,11225.42,0-15
454,U001,200148860,DOLLA associates,2020-05-23 06:04:43.500000000,2020,1930699340,2020-03-25,2020-05-29,2020-03-25,NAGD,5456.75,Before Due Date
458,U001,200794332,COST llc,2020-05-25 16:47:20.765625000,2020,1930862420,2020-08-05,2020-05-23,2020-05-08,NAAX,81500.86,0-15
468,U001,200555117,BURR trust,2020-05-23 23:11:52.750000000,2020,1930709963,2020-03-27,2020-04-11,2020-03-27,NAA8,749.14,31-45
470,U001,200769623,WAL-MAR in,2020-06-15 14:45:11.000000000,2020,1930878284,2020-09-05,2020-05-24,2020-05-09,NAH4,2219.89,16-30
471,U001,200772670,ASSOCIAT corp,2020-04-04 21:52:10.598632812,2020,1930683241,2020-03-21,2020-04-05,2020-03-21,NAU5,15489.78,Before Due Date
473,U001,200707822,PUBLI corporation,2020-05-30 00:29:15.562500000,2020,1930857983,2020-04-05,2020-05-19,2020-05-04,NAA8,126107.91,0-15
482,CA02,140104392,FLANAG us,2020-03-09 22:36:49.625000000,2020,2960619205,2020-06-03,2020-03-20,2020-03-10,CA10,2528.673,Before Due Date
486,U001,200769623,WAL-MAR corp,2020-05-18 07:32:23.687500000,2020,1930831780,2020-04-28,2020-05-13,2020-04-28,NAH4,11545.38,0-15
493,U001,200759878,SA systems,2020-04-19 08:16:16.250000000,2020,1930717567,2020-03-31,2020-04-15,2020-03-31,NAH4,47646.57,0-15
498,U001,200705742,DOT foundation,2020-03-10 17:03:36.156250000,2020,1930581678,2020-02-28,2020-03-14,2020-02-28,NAA8,5932.51,Before Due Date
502,U001,200793568,SUPE trust,2020-04-16 14:59:59.687500000,2020,1930690537,2020-03-23,2020-04-07,2020-03-23,NAA8,1635.76,0-15
511,U001,200726979,BJ'S  ,2020-04-11 17:44:05.125000000,2020,1930646128,2020-12-03,2020-03-27,2020-03-12,NAA8,1286.3,16-30
516,U001,200704858,WAKE corp,2020-04-28 07:01:58.437500000,2020,1930762384,2020-09-04,2020-04-24,2020-04-09,NAA8,99568.42,0-15
519,U001,200780383,MEIJ in,2020-03-12 23:23:27.750000000,2020,1930665025,2020-03-18,2020-04-02,2020-03-18,NAA8,3612.63,Before Due Date
520,U001,200762301,C&S WH associates,2020-05-01 09:20:57.718750000,2020,1930778021,2020-12-04,2020-04-27,2020-04-12,NAC6,102276.04,0-15
522,CA02,140106271,LONGO  in,2020-04-16 06:12:35.070312500,2020,2960626604,2020-03-04,2020-04-17,2020-04-07,CA10,8615.453,Before Due Date
529,CA02,140104423,METRO  us,2020-04-26 08:10:15.468750000,2020,2960628851,2020-04-17,2020-05-01,2020-04-21,CA10,45059.545999999995,Before Due Date
531,U001,200741174,M B  co,2020-03-17 19:17:18.500000000,2020,1930657267,2020-03-16,2020-03-31,2020-03-16,NAA8,5767.83,Before Due Date
535,CA02,100030194,AMAZO llc,2019-12-13 23:03:19.000000000,2020,2960622411,2020-03-18,2020-03-30,2020-03-20,CA10,9851.667,Before Due Date
545,U001,200769623,WAL-MAR trust,2020-04-12 08:23:32.250000000,2020,1930720012,2020-03-30,2020-04-14,2020-03-30,NAH4,42379.83,Before Due Date
559,U001,200592182,DECA in,2020-04-25 01:07:38.000000000,2020,1930822583,2020-04-24,2020-05-09,2020-04-16,NAM4,1761.84,Before Due Date
571,U001,200743996,STATER  co,2020-04-07 07:52:32.187500000,2020,1930686889,2020-03-22,2020-04-06,2020-03-22,NAA8,94612.03,0-15
583,U001,200769623,WAL-MAR in,2020-04-25 03:20:05.000000000,2020,1930787980,2020-04-15,2020-04-30,2020-04-15,NAH4,22226.35,Before Due Date
587,U001,200749782,KROG associates,2020-05-14 04:22:03.312500000,2020,1930822131,2020-04-25,2020-05-10,2020-04-25,NAA8,88502.01,0-15
596,U001,200744019,TARG corp,2020-05-21 17:34:04.812500000,2020,1930641073,2020-03-13,2020-05-17,2020-03-13,NAGD,1982.06,0-15
600,U001,200769623,WAL-MAR foundation,2020-05-14 20:09:30.937500000,2020,1930804577,2020-04-21,2020-05-06,2020-04-21,NAH4,2326.08,0-15
601,U001,200705742,DOT us,2020-03-26 19:12:49.687500000,2020,1930592413,2020-02-03,2020-03-17,2020-03-02,NAA8,9822.38,0-15
617,U001,200744019,TARG trust,2020-06-06 01:31:35.875000000,2020,1930857489,2020-05-05,2020-05-20,2020-05-05,NAA8,29592.42,16-30
619,U001,200772670,ASSOCIAT associates,2020-05-08 08:41:52.125000000,2020,1930739252,2020-03-04,2020-04-18,2020-04-03,NAU5,47903.76,16-30
620,U001,200769623,WAL-MAR corporation,2020-04-05 06:10:00.765625000,2020,1930692953,2020-03-24,2020-04-08,2020-03-24,NAH4,1898.9,Before Due Date
625,U001,200900909,SYSCO in,2020-04-28 16:37:14.437500000,2020,1930741081,2020-03-04,2020-04-18,2020-04-03,NAA8,7524.17,0-15
627,U001,200424504,M  in,2020-04-21 19:57:15.937500000,2020,1930830032,2020-04-28,2020-04-15,2020-04-15,NACG,2428.04,0-15
629,U001,100031704,DELHAIZE trust,2020-07-11 00:33:31.625000000,2020,1930794735,2020-04-16,2020-06-20,2020-04-16,NAGD,1176.59,16-30
633,U001,200764795,SYSCO  us,2020-04-16 12:03:22.640625000,2020,1930637455,2020-03-18,2020-04-19,2020-03-18,NA32,10978.51,Before Due Date
644,U001,200337148,COAS systems,2020-04-09 22:30:50.375000000,2020,1930587342,2020-02-03,2020-03-17,2020-03-02,NAA8,45127.79,16-30
645,U001,200416837,DEC llc,2020-03-01 01:49:19.000000000,2020,1930599382,2020-04-03,2020-03-24,2020-03-01,NAM4,398.16,Before Due Date
649,U001,200769623,WAL-MAR llc,2020-03-29 08:57:31.187500000,2020,1930623646,2020-09-03,2020-03-24,2020-03-09,NAH4,58726.21,0-15
650,U001,200726979,BJ'S  associates,2020-04-03 19:59:38.250000000,2020,1930645815,2020-12-03,2020-03-27,2020-03-12,NAA8,588.49,0-15
658,U001,200721222,GO us,2020-04-01 17:59:12.750000000,2020,1930800642,2020-04-20,2020-05-05,2020-04-20,NAA8,25685.07,Before Due Date
662,U001,200772595,SAFEW corporation,2020-04-16 14:19:33.691406250,2020,1930729101,2020-02-04,2020-04-17,2020-04-02,NAA8,10020.14,Before Due Date
665,U001,200820380,SMITH'S trust,2020-04-10 04:44:21.968750000,2020,1930716191,2020-03-30,2020-04-14,2020-03-30,NAA8,48022.97,Before Due Date
668,U001,200793568,SUPE corporation,2020-04-10 05:06:51.625000000,2020,1930779652,2020-04-14,2020-04-29,2020-04-14,NAA8,36623.03,Before Due Date
672,U001,100043975,JAVA co,2020-06-11 06:10:05.000000000,2020,1930586661,2020-02-03,2020-03-17,2020-03-02,NAA8,7212.0,Greatar than 60
673,U001,200769623,WAL-MAR llc,2020-03-31 18:59:46.687500000,2020,1930692548,2020-03-25,2020-04-09,2020-03-25,NAH4,15797.23,Before Due Date
681,U001,200769623,WAL-MAR foundation,2020-03-31 05:52:21.875000000,2020,1930593446,2020-04-03,2020-03-19,2020-03-04,NAH4,14706.98,0-15
682,U001,200729290,KROGER ,2020-04-08 04:04:20.375000000,2020,1930599215,2020-04-03,2020-03-19,2020-03-04,NAA8,115494.14,16-30
685,U001,200769623,WAL-MAR us,2020-05-21 00:01:49.812500000,2020,1930827122,2020-04-27,2020-05-12,2020-04-27,NAH4,1898.9,0-15
687,U001,200769623,WAL-MAR us,2020-05-05 07:01:14.125000000,2020,1930750644,2020-06-04,2020-04-21,2020-04-06,NAH4,37684.36,0-15
688,U001,200705372,FR corporation,2020-03-28 02:09:19.448242188,2020,1930637990,2020-03-13,2020-03-28,2020-03-13,NAA8,19961.05,0-15
698,U001,200769623,WAL-MAR llc,2020-03-28 12:34:50.375000000,2020,1930675431,2020-03-22,2020-04-06,2020-03-22,NAH4,11826.09,Before Due Date
701,U001,200742791,QUI in,2020-03-25 08:01:30.820312500,2020,1930603823,2020-10-03,2020-03-25,2020-03-10,NAA8,24843.48,0-15
703,U001,200743996,STATER  corporation,2020-04-18 03:15:04.218750000,2020,1930718352,2020-03-30,2020-04-14,2020-03-30,NAA8,32224.05,0-15
704,U001,200769623,WAL-MAR us,2020-05-05 03:09:32.125000000,2020,1930752522,2020-06-04,2020-04-21,2020-04-06,NAH4,9937.06,0-15
714,U001,200759878,SA corporation,2020-05-03 03:03:12.187500000,2020,1930752430,2020-08-04,2020-04-23,2020-04-08,NAH4,12417.47,0-15
722,U001,200762301,C&S WH us,2020-03-22 10:15:36.968750000,2020,1930584581,2020-02-03,2020-03-17,2020-03-02,NAC6,4301.57,0-15
723,U001,200769623,WAL-MAR ,2020-06-16 02:50:05.000000000,2020,1930885637,2020-12-05,2020-05-27,2020-05-12,NAH4,22549.83,16-30
728,U001,100043936,PAPA JO foundation,2020-05-26 10:32:45.500000000,2020,1930627707,2020-10-03,2020-03-20,2020-03-10,NA10,18145.19,Greatar than 60
731,U001,200744019,TARG co,2020-04-23 15:30:43.937500000,2020,1930748869,2020-05-04,2020-04-20,2020-04-05,NAA8,97776.0,0-15
745,U001,200740393,LABAT ,2020-03-20 04:24:48.203125000,2020,1930585380,2020-03-03,2020-03-18,2020-03-03,NAA8,52645.42,0-15
747,U001,200769623,WAL-MAR systems,2020-03-30 22:01:46.937500000,2020,1930671465,2020-03-20,2020-04-04,2020-03-20,NAH4,21113.92,Before Due Date
753,U001,200762301,C&S WH co,2020-03-15 04:35:37.109375000,2020,1930577119,2020-02-27,2020-03-13,2020-02-27,NAC6,137768.6,0-15
758,U001,200759878,SA in,2020-04-30 09:25:32.312500000,2020,1930748365,2020-05-04,2020-04-20,2020-04-05,NAH4,13548.66,0-15
759,U001,200759878,SA corporation,2020-05-11 05:18:08.210937500,2020,1930825574,2020-04-27,2020-05-12,2020-04-27,NAH4,35898.48,Before Due Date
762,U001,200704858,WAKE llc,2020-03-18 08:28:44.750000000,2020,1930655118,2020-03-16,2020-03-31,2020-03-16,NAA8,109248.63,Before Due Date
777,U001,200762301,C&S WH foundation,2020-03-17 05:43:49.500000000,2020,1930654407,2020-03-16,2020-03-31,2020-03-16,NAC6,7465.1,Before Due Date
806,U001,200803720,DEC corporation,2020-04-26 23:55:26.375000000,2020,1930872721,2020-07-05,2020-05-11,2020-05-01,NAM2,4729.18,Before Due Date
807,U001,200078795,H T H llc,2020-06-02 17:36:40.000000000,2020,1930861108,2020-05-05,2020-05-20,2020-05-05,NAA8,1412.26,0-15
812,U001,200519201,KROGE llc,2020-04-30 14:43:55.625000000,2020,1930709582,2020-03-28,2020-04-12,2020-03-28,NAA8,15477.22,16-30
821,U001,200744019,TARG corp,2020-04-29 12:35:38.187500000,2020,1930753198,2020-07-04,2020-04-22,2020-04-07,NAA8,19195.56,0-15
829,U001,200786288,FAMILY in,2020-05-19 16:04:23.750000000,2020,1930759958,2020-08-04,2020-04-23,2020-04-08,NAC6,66230.48,16-30
830,U001,200418007,AM systems,2020-04-27 22:06:26.000000000,2020,1930732102,2020-02-04,2020-04-17,2020-04-02,NAA8,47393.05,0-15
832,U001,200466603,SMITH'S systems,2020-03-31 09:01:13.531250000,2020,1930664246,2020-03-18,2020-04-02,2020-03-18,NAA8,142732.08,Before Due Date
841,CA02,140106408,WAL-M associates,2020-04-04 08:48:17.296875000,2020,2960622798,2020-03-23,2020-04-02,2020-03-23,CA10,5791.484999999999,0-15
842,U001,200762301,C&S WH in,2020-06-02 21:50:19.718750000,2020,1930721389,2020-01-04,2020-06-05,2020-04-01,NAGD,7943.13,Before Due Date
845,U001,200761734,H E BUT associates,2020-03-16 13:39:21.562500000,2020,1930632938,2020-10-03,2020-03-25,2020-03-10,NAA8,91756.55,Before Due Date
851,U001,200769623,WAL-MAR foundation,2020-04-04 03:26:41.875000000,2020,1930611981,2020-08-03,2020-03-23,2020-03-08,NAH4,24282.42,0-15
854,U001,200769623,WAL-MAR llc,2020-04-20 03:15:41.125000000,2020,1930793187,2020-04-18,2020-05-03,2020-04-18,NAH4,10903.6,Before Due Date
866,U001,200769623,WAL-MAR us,2020-04-08 00:48:35.948730469,2020,1930692727,2020-03-24,2020-04-08,2020-03-24,NAH4,51516.27,0-15
867,U001,200744019,TARG us,2020-05-15 23:41:53.312500000,2020,1930813045,2020-04-21,2020-05-06,2020-04-21,NAA8,5887.21,0-15
869,U001,200726979,BJ'S  systems,2020-04-04 05:47:09.875000000,2020,1930643416,2020-12-03,2020-03-27,2020-03-12,NAA8,14149.02,0-15
872,U001,200706844,WINC co,2020-04-04 06:07:50.437500000,2020,1930760026,2020-03-31,2020-04-15,2020-03-31,NAA8,38905.5,Before Due Date
889,U001,200418007,AM us,2020-05-09 00:50:11.625000000,2020,1930650673,2020-03-14,2020-05-18,2020-03-14,NAGD,1011.24,Before Due Date
894,U001,200799367,MCL in,2020-04-16 12:58:47.265625000,2020,1930720975,2020-03-31,2020-04-15,2020-03-31,NAA8,124605.44,0-15
898,U001,200772595,SAFEW corporation,2020-04-20 07:23:26.437500000,2020,1930705040,2020-03-25,2020-04-09,2020-03-25,NAA8,32039.34,0-15
900,U001,CCU013,KRAFT F in,2020-02-07 19:15:36.750000000,2020,1930570370,2020-02-28,2020-02-28,2020-02-28,NAX2,37209.64,Before Due Date
904,U001,200726979,BJ'S  in,2020-04-04 23:05:54.375000000,2020,1930629390,2020-09-03,2020-03-24,2020-03-09,NAA8,467.72,0-15
905,U001,200526831,PERISH associates,2020-03-16 11:00:13.250000000,2020,1930666168,2020-03-19,2020-04-03,2020-03-19,NAA8,134095.09,Before Due Date
911,U001,200769623,WAL-MAR llc,2020-06-02 17:57:33.000000000,2020,1930845835,2020-02-05,2020-05-17,2020-05-02,NAH4,292.94,16-30
916,U001,100031704,DELHAIZE corp,2020-05-13 03:55:42.687500000,2020,1930844129,2020-04-30,2020-05-15,2020-04-30,NAA8,92271.69,Before Due Date
918,U001,200769623,WAL-MAR in,2020-03-26 02:37:18.812500000,2020,1930662779,2020-03-18,2020-04-02,2020-03-18,NAH4,35023.47,Before Due Date
924,U001,200020431,DEC systems,2020-02-20 16:23:04.250000000,2020,1930599834,2020-04-03,2020-03-24,2020-03-01,NAM4,4551.58,Before Due Date
933,U001,200726979,BJ'S  ,2020-05-03 08:45:42.375000000,2020,1930730591,2020-01-04,2020-04-16,2020-04-01,NAA8,261.84,16-30
944,U001,200769623,WAL-MAR foundation,2020-03-25 10:21:27.562500000,2020,1930652678,2020-03-15,2020-03-30,2020-03-15,NAH4,33837.66,Before Due Date
952,U001,200729942,SA ,2020-04-14 00:42:37.625000000,2020,1930798198,2020-04-17,2020-05-02,2020-04-17,NAA8,11696.53,Before Due Date
956,U001,200705742,DOT systems,2020-05-10 22:12:07.703125000,2020,1930810367,2020-04-23,2020-05-08,2020-04-23,NAA8,8115.04,0-15
957,U001,200777735,NASH  co,2020-02-12 08:57:38.500000000,2020,1930670844,2020-03-18,2020-04-02,2020-03-18,NAA8,152067.79,Before Due Date
973,U001,200020431,DEC us,2020-03-01 18:11:23.625000000,2020,1930617742,2020-07-03,2020-03-24,2020-03-01,NAM4,3117.84,Before Due Date
